식당ID,이름,위치,영업시간,주차,예약,리뷰수
1242805374,육달집 강남본점,서울 강남구 강남대로102길 22 2층,15:00에 브레이크타임,False,True,"방문자 리뷰 1,082"
1415235296,호보식당 신사역직영점,서울 강남구 도산대로1길 24 1층 102호,14:30에 브레이크타임,True,True,"방문자 리뷰 3,356"
1234407239,흑벽돌집 논현본점,서울 강남구 봉은사로33길 28 1층 흑벽돌집,22:00에 라스트오더,True,True,"방문자 리뷰 1,977"
1005495070,영동그집,서울 강남구 봉은사로1길 42-8,16:30에 영업 시작,False,True,"별점4.73"
37837518,고기꾼김춘배 강남점,"서울 강남구 강남대로100길 13 3층, 4층",21:30에 라스트오더,True,True,"방문자 리뷰 5,406"
1028354634,다몽집 신논현본점,서울 강남구 강남대로100길 13 지하1층/2층 다몽집,16:00에 영업 시작,True,True,"방문자 리뷰 9,173"
11609540,봉우화로,서울 강남구 봉은사로18길 76 스타팰리스,23:30에 영업 종료,True,True,"방문자 리뷰 3,873"
1115671675,유니네 고깃간 강남역점,서울 강남구 강남대로98길 12 1층,14:00에 영업 시작,True,True,"방문자 리뷰 3,220"
37577974,봉우이층집,서울 강남구 봉은사로18길 76 스타 팰리스,23:30에 영업 종료,True,True,"별점4.57"
20563653,대통령삼겹살 신논현역점,서울 강남구 강남대로110길 14 1층,16:00에 영업 시작,True,True,"별점4.55"
1817134114,대봉집 신사본점,서울 강남구 압구정로2길 57 1층 대봉집,16:00에 영업 시작,True,True,"별점4.35"
1275553707,육성급 삼성본점,서울 강남구 테헤란로79길 25 1층,14:30에 브레이크타임,True,True,"별점4.62"
2089541139,현대고기담 강남 압구정점,서울 강남구 압구정로29길 69 지하1층 1호,15:00에 브레이크타임,True,False,새로오픈
2044530165,부원냉삼집 대치동점,"서울 강남구 남부순환로 2917 청실상가동 1층 102-가호, 102-나호",16:00에 영업 시작,False,False,새로오픈
2022601947,꿈에그린정육식당 강남구청점,서울 강남구 학동로45길 8 1층 101B호,15:00에 브레이크타임,False,True,새로오픈
2049293785,초필살돼지구이 방이점,서울 송파구 올림픽로32길 19-8 1층,16:30에 영업 시작,False,False,새로오픈
2060948347,육쌈마을 논현역본점,서울 서초구 신반포로47길 51-4 1층,다음 날 05:00에 영업 종료,True,True,새로오픈
2019213726,석암생소금구이 한남점,"서울 용산구 한남대로21길 32 1, 2층",16:00에 영업 시작,False,False,새로오픈
2028075615,미아회관 송파직영점,서울 송파구 가락로 264 1층,다음 날 04:30에 라스트오더,True,True,새로오픈
2070897577,보성갈비 문정점,서울 송파구 동남로2길 27 1층 101호,21:30에 라스트오더,True,True,새로오픈
2065212907,그을림,서울 송파구 백제고분로21길 24 1층,16:00에 영업 시작,True,True,새로오픈
1087970189,돝고기506,서울 강남구 테헤란로 145 지하1층,15:00에 브레이크타임,True,True,"별점4.42"
1134719233,땅코참숯구이 선릉점,서울 강남구 선릉로82길 28,16:00에 영업 시작,False,False,방문자 리뷰 293
37486499,반갑다 하대포,서울 강남구 역삼로3길 7 1층,15:00에 영업 시작,False,True,"별점4.51"
1915284644,산솔 신논현점,서울 강남구 강남대로112길 15 지상1층,16:00에 영업 시작,True,True,"방문자 리뷰 2,172"
37704319,화기애애,서울 강남구 강남대로106길 12 화기애애,23:20에 라스트오더,False,True,"별점4.64"
1785772528,돈육지존 역삼역본점,서울 강남구 테헤란로19길 18 1층 돈육지존,14:30에 브레이크타임,True,True,"별점4.47"
37026271,탐라도야지,서울 강남구 삼성로104길 13 삼성동149-27,23:00에 영업 종료,True,True,"방문자 리뷰 2,404"
1218830542,돼봉삼겹살 신논현점,서울 강남구 봉은사로2길 21 1층,다음 날 01:00에 라스트오더,True,True,"방문자 리뷰 4,969"
619673845,두껍삼 역삼직영점,서울 강남구 테헤란로8길 17,14:30에 라스트오더,True,True,"별점4.55"
1672141709,육즙관리소 양재역점,서울 강남구 강남대로44길 7 1층,14:00에 브레이크타임,False,True,알림받기한 고객님들께 드려요
31600260,잰부닥,서울 강남구 강남대로42길 13 1층,15:00에 브레이크타임,True,True,방문자 리뷰 629
1440556769,맹그르브삼겹살,서울 강남구 학동로2길 43,시간미기재,True,False,방문자 리뷰 731
1835404105,동남회관 역삼점,서울 강남구 언주로93길 24 1층,15:00에 브레이크타임,True,True,쿠폰이 있어요
1021725079,상록수 선릉점,서울 강남구 삼성로85길 43 1층,14:00에 브레이크타임,False,True,"방문자 리뷰 1,614"
1098302664,석암생소금구이 강남점,"서울 강남구 봉은사로2길 21 1층, 2층",24:00에 영업 종료,True,False,"방문자 리뷰 2,348"
37653872,강남 돼지상회 무한리필,서울 강남구 강남대로98길 11 2층 메트로 빌딩 2층,23:30에 영업 종료,False,True,"방문자 리뷰 3,899"
1008380466,청담고수 청담점,서울 강남구 도산대로58길 15,16:00에 영업 시작,True,True,알림받기한 고객님들께 드려요
1435091999,대패마켙 강남논현점,서울 강남구 학동로2길 49 1층,시간미기재,False,True,"방문자 리뷰 3,639"
1009371925,수미돈 삼성점,서울 강남구 삼성로103길 12 1층,14:30에 브레이크타임,True,True,"별점4.9"
1236412447,강남고기집 한판도 역삼본점,서울 강남구 테헤란로10길 9 그랑프리빌딩 1층,14:00에 브레이크타임,True,True,"방문자 리뷰 3,518"
