식당ID,작성자,작성일,리뷰내용
2022601947,네로마로11,6.10.수,
2022601947,효듕잉,6.9.화,정육식당이라 고기가 너무 신선하고 맛있어용!! 반찬도 너무너무 다양하고 맛있었슴당 ㅎㅎ 직원분들과 사장님도 매우 친절하셔서 먹는동안 해삐하게 먹었어용☺️담에 또 올게용🫶🏻
2022601947,ndxz,6.9.화,너무 맛있게 먹었어요. 주변에 소고기 먹으러 많이 다녔는데 이제 여기만 오겠네요. 직원분들도 친절하시고 기분좋게 먹고 갑니다!! 🫶🏻🫶🏻
2022601947,행복한B,6.9.화,
2022601947,쿵3825,6.5.금,새로오픈했어요! 깨끗하고 시원하고 음식이 맛있습니다! 음식이 신선하고 건강한거같아요. 자주 올거같아요. 감사합니다!
2022601947,JNNing,5.31.일,고기 신선하고 맛있었어요. 냉면이랑 같이 먹으니까 아주 굿. 오픈 이벤트에서 다녀왔어요~
2022601947,더블슬랙,5.31.일,"새로 오픈한 고깃집!
삼겹살이 야들야들 맛 있고 파김치도 잘 어울려서 든든하게 먹고 갑니다.^^"
2022601947,gre****,5.31.일,"상차림이 아쉽기는 하나 고기가 맛납니다. 
할인행사할때 자주
가야겠어요"
2022601947,IlIllllIII,6.9.화,친구 생일 기념으로 한우먹으려고 왔는데 가성비 진짜 좋네요! 반찬도 많고 다 맛있어요! 그리고 생긴지 얼마 안 된 곳인지 엄청 깔끔하고 깨끗했어요👍 냉면도 진짜 맛있어요!! 꼭 고기랑 같이 드세요😋😋 안 질리게 푸파 가능ㅎㅎ
2022601947,swe****,5.29.금,"한우고기 배부르게 많이 먹었어요!!
가성비도 좋고, 야채랑 냉면이랑 한우된찌까지 
엄마도 애기들도 만족한 저녁이었습니다."
2022601947,임주비77,5.27.수,진짜 싹싹 다 먹었습니다!!!너무 맛있어요!! 다음에도 방문할것같아요~
2022601947,증이,5.27.수,"남자친구랑 왔는데 고기도 맛있고 넘 친절하세영
ㅎㅎ 밑반찬 많이 나와서 안질리고 맛있게
먹었네용! 또 올게요"
2022601947,enrouge,5.24.일,집 근처에 새로 오픈한 고깃집이 있어서 다녀와봤어요. 채끝살은 엄청 부드러웠고 제비추리는 꼬돌꼬돌하니 맛있었어요! 고기 퀄리티가 엄청 좋아요👍🏻👍🏻 오픈특가로 20프로 할인된 가격으로 합리적이게 잘 먹었어요. 디저트로 마시멜로우도 구워먹을 수 있어요 ㅎㅎ
2022601947,지현천사1004,5.23.토,"가격도 착한데 고기질도 너무 좋고 개인 화로라서 고기 냄새도 많이 안배고 너무 조아여 !!! 
직원분들 다 친절보스.. 
동네라서 자주 올듯해용 ♡"
2022601947,golucykoo,5.24.일,"우선 고기는 정말 한우 한돈
모두 만족했습니다. 특히 살치살은 입에서 살살 녹았습니다. 마장동 갈 필요가 없습니다.

다만 5천원씩 1인당 받는 찬은
가격율 떠나서
많이 아쉬웠습니다.
반찬은. .연구가 더 필요할듯 해요.
다른 리뷰를 남긴 분들은 반찬에 만족을 하시는데 저는 아쉬웠습니다. 

사실 고기 먹을  때 반찬도 중요하다고 여겨서요.

반찬은 각자 판단한다고 하면
저는 고기는 정말 만족이었습니다."
2022601947,릴리천사,5.23.토,삼겹살이 신선하고 맛이 좋았어요 양도 푸짐하니 좋아요   반찬도 다양하니 나오고 맛나네요 소고기 돼지고기 다양해서 다음에는 소고기 먹어보려고요  매장도 깔끔하고 친절하고 마음에 들어요 또 둘이서 배부르게 잘 먹고 갔어요
